player_id,player_name,season,fbref_player,age,birth_year,nation,position,position_group,squad,competition,foot,height_in_cm,market_value_eur,highest_market_value_in_eur,valuation_date,tm_match_method,tm_match_score,source_file,MP,Starts,Min,90s,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,TklW_per90,Int_per90,Blocks_per90,Clr_per90,Touches_per90,Carries_per90,Mis_per90,Dis_per90,Rec_per90,Recov_per90,AerWon_per90,AerLost_per90
333383,Bonke Innocent,2022_2023,Bonke Innocent,27.0,1996,NGA,MF,MF,Lorient,Ligue 1,right,178.0,2000000,2000000,2023-06-27,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,19.0,10.0,914.0,10.2,0.0,0.1,0.0,,0.0,0.29,2.25,0.0,0.2,0.0,0.49,0.1,2.45,1.37,1.76,1.67,2.35,52.8,35.5,0.59,0.39,30.6,6.18,0.69,1.27
278359,Borja Iglesias,2022_2023,Borja Iglesias,30.0,1993,ESP,FW,FW,Betis,Liga,right,187.0,20000000,28000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,20.0,19.0,1480.0,16.4,0.5487804878048781,0.18,0.0,,0.0,1.22,0.91,5.55,2.38,0.85,0.85,0.37,0.49,0.24,0.06,0.3,0.67,29.5,16.8,2.87,1.46,23.8,1.65,0.85,1.34
298976,Borja Mayoral,2022_2023,Borja Mayoral,25.0,1997,ESP,FW,FW,Getafe,Liga,right,182.0,9000000,15000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,20.0,20.0,1624.0,18.0,0.2222222222222222,0.0,0.0,,0.0,2.06,1.5,5.83,1.56,0.39,0.61,0.56,0.44,0.17,0.060000000000000005,0.61,0.28,35.6,22.4,1.9400000000000002,1.8899999999999997,26.9,3.11,1.0,2.33
293194,Borna Sosa,2022_2023,Borna Sosa,25.0,1998,CRO,DFMF,DF,Stuttgart,Bundesliga,left,187.0,12000000,23000000,2023-06-22,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,14.0,11.0,987.0,11.0,0.0,0.55,0.0,,0.0,2.73,5.64,6.820000000000001,0.82,0.27,3.0899999999999994,2.82,1.36,0.82,0.73,0.73,1.55,71.5,37.7,1.09,0.91,42.8,6.179999999999999,0.82,0.55
394327,Boubacar Kamara,2022_2023,Boubacar Kamara,23.0,1999,FRA,MF,MF,Aston Villa,Premier League,right,184.0,30000000,40000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,15.0,14.0,1195.0,13.3,0.0,0.08,0.0,,0.0,0.83,5.11,0.45,0.3,0.08,0.38,0.3,3.23,1.35,0.83,1.88,1.35,64.1,34.8,0.83,0.68,39.8,6.99,1.4300000000000002,1.05
344605,Boubakary Soumaré,2022_2023,Boubakary Soumaré,23.0,1999,FRA,MF,MF,Leicester City,Premier League,right,188.0,20000000,28000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,14.0,12.0,836.0,9.3,0.0,0.0,0.0,,0.0,1.08,3.7600000000000002,1.18,0.11,0.0,0.22,0.11,3.66,2.47,1.72,0.54,1.72,64.1,33.3,1.08,1.18,43.2,6.67,0.97,0.97
626913,Boulaye Dia,2022_2023,Boulaye Dia,26.0,1996,SEN,FW,FW,Salernitana,Serie A,right,180.0,25000000,25000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,20.0,16.0,1465.0,16.3,0.49079754601226994,0.25,0.0,,0.0,1.47,1.9,5.52,1.53,0.8,1.35,0.8,0.49,0.18,0.25,0.18,0.74,30.5,22.0,2.58,2.27,24.0,3.44,0.67,1.6
314678,Brahim Díaz,2022_2023,Brahim Díaz,23.0,1999,ESP,MF,MF,Milan,Serie A,both,170.0,20000000,40000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,19.0,15.0,1036.0,11.5,0.34782608695652173,0.26,0.0,,0.0,4.0,6.09,5.3,1.83,0.7,2.09,2.09,1.48,0.7,0.43000000000000005,0.78,0.35,46.5,31.4,3.39,2.52,34.1,5.3,0.17,0.96
309110,Brais Méndez,2022_2023,Brais Méndez,26.0,1997,ESP,MF,MF,Real Sociedad,Liga,left,184.0,25000000,40000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,19.0,17.0,1451.0,16.1,0.43478260869565216,0.19,0.0,,0.0,1.37,4.91,4.91,2.36,0.93,1.68,1.18,2.42,1.43,0.5,0.99,0.56,61.9,33.7,1.61,1.24,43.1,4.84,0.81,0.81
104597,Bram Nuytinck,2022_2023,Bram Nuytinck,32.0,1990,NED,DF,DF,Udinese / Sampdoria,Serie A,left,191.0,1000000,5000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,12.0,9.0,870.0,9.7,0.0,0.0,0.0,,0.0,0.20773195876288664,1.341958762886598,0.0,0.3079381443298969,0.0,0.10577319587628867,0.10195876288659794,2.988350515463918,1.959896907216495,1.1321649484536083,1.9622680412371134,4.641237113402061,47.00824742268042,22.792783505154638,0.10195876288659794,0.0,23.617525773195883,4.742886597938145,1.3405154639175259,1.1321649484536083
