fbref_player,age,birth_year,nation,position,squad,competition,tm_match_method,tm_match_score
Thiago,23.0,2001,br BRA,"FW,MF",Brentford,eng Premier League,none,75
Cheikh Tidiane Niasse,24.0,2000,sn SEN,MF,Hellas Verona,it Serie A,none,76
Souleymane Touré,21.0,2003,fr FRA,DF,Udinese,it Serie A,none,65
Kostas Tsimikas,28.0,1996,gr GRE,DF,Liverpool,eng Premier League,none,83
Manuel Ugarte Ribeiro,23.0,2001,uy URU,MF,Manchester Utd,eng Premier League,none,76
José Luis García Vayá,25.0,1998,es ESP,MF,Valencia,es La Liga,none,63
Viti,26.0,1997,es ESP,DF,Las Palmas,es La Liga,none,75
Kjell-Arik Wätjen,18.0,2006,de GER,MF,Dortmund,de Bundesliga,none,83
Nathan Wood-Gordon,22.0,2002,eng ENG,DF,Southampton,eng Premier League,none,76
Erencan Yardimci,22.0,2002,tr TUR,"FW,MF",Hoffenheim,de Bundesliga,none,77
Yehor Yarmoliuk,20.0,2004,ua UKR,MF,Brentford,eng Premier League,none,87
Illia Zabarnyi,21.0,2002,ua UKR,DF,Bournemouth,eng Premier League,none,89
Eloge Zabi,17.0,2006,ci CIV,"DF,MF",Reims,fr Ligue 1,none,60
Andre-Frank Zambo Anguissa,28.0,1995,cm CMR,MF,Napoli,it Serie A,none,70
Yanis Zouaoui,30.0,1994,dz ALG,"DF,FW",Le Havre,fr Ligue 1,none,57
Milan Đurić,34.0,1990,ba BIH,FW,Monza,it Serie A,none,70
Milan Đurić,34.0,1990,ba BIH,FW,Parma,it Serie A,none,70
