player_id,player_name,age,birth_year,nation,position,position_group,squad,competition,market_value_eur,Min,90s,Gls_per90,Ast_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,Int_per90,Blocks_per90,Touches_per90,Carries_per90
413565,Jhon Lucumí,26.0,1998,co COL,DF,DF,Bologna,it Serie A,17000000,2614.0,29.0,0.0,0.034482758620689655,0.020689655172413793,0.013793103448275864,1.1724137931034482,3.7241379310344827,0.2413793103448276,0.4482758620689655,0.06896551724137931,0.27586206896551724,0.0,1.8275862068965518,0.896551724137931,0.2413793103448276,79.10344827586206,50.48275862068966
742521,Jhon Solís,19.0,2004,co COL,MF,MF,Girona,es La Liga,2500000,535.0,5.9,0.1694915254237288,0.0,0.11864406779661016,0.01694915254237288,1.5254237288135593,4.915254237288135,2.542372881355932,0.6779661016949152,0.1694915254237288,0.3389830508474576,0.1694915254237288,2.2033898305084745,0.6779661016949152,0.1694915254237288,61.69491525423729,38.813559322033896
646733,Jim Allevinah,29.0,1995,ga GAB,FW,FW,Angers,fr Ligue 1,2000000,1750.0,19.4,0.051546391752577324,0.15463917525773196,0.21649484536082478,0.1288659793814433,2.9381443298969074,2.4742268041237114,5.103092783505155,1.8041237113402062,0.5154639175257733,0.7731958762886598,0.6701030927835052,0.9793814432989691,0.6185567010309279,0.6701030927835052,35.154639175257735,22.422680412371136
260827,Joachim Andersen,28.0,1996,dk DEN,DF,DF,Crystal Palace / Fulham,eng Premier League,27000000,2673.0,29.7,0.0,0.0,0.03367003367003367,0.016835016835016835,0.5723905723905724,3.9057239057239057,0.10101010101010101,0.6734006734006734,0.16835016835016836,0.13468013468013468,0.2356902356902357,0.9427609427609428,1.144781144781145,0.26936026936026936,81.78451178451179,47.10437710437711
561613,Joan García,23.0,2001,es ESP,GK,GK,Espanyol,es La Liga,25000000,3420.0,38.0,0.0,0.0,0.002631578947368421,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,35.473684210526315,20.55263157894737
263727,Joan Jordán,30.0,1994,es ESP,MF,MF,Alavés,es La Liga,3500000,1414.0,15.7,0.3184713375796179,0.12738853503184713,0.3057324840764331,0.1464968152866242,0.445859872611465,6.624203821656051,2.229299363057325,0.8280254777070064,0.25477707006369427,1.9745222929936306,0.9554140127388535,2.038216560509554,0.5732484076433121,1.019108280254777,66.11464968152866,30.636942675159236
227081,Joaquín Correa,29.0,1994,ar ARG,"FW,MF",FW,Inter,it Serie A,3000000,731.0,8.1,0.2469135802469136,0.2469135802469136,0.2592592592592593,0.2469135802469136,2.7160493827160495,5.185185185185185,5.555555555555555,1.7283950617283952,0.7407407407407408,1.234567901234568,1.4814814814814816,1.3580246913580247,0.0,1.7283950617283952,54.074074074074076,36.41975308641975
468198,Joe Aribo,28.0,1996,ng NGA,"MF,DF",MF,Southampton,eng Premier League,6000000,2013.0,22.4,0.13392857142857142,0.0,0.1205357142857143,0.07142857142857144,1.6071428571428572,3.348214285714286,2.9017857142857144,0.7589285714285715,0.3125,0.7142857142857143,0.17857142857142858,2.098214285714286,0.8928571428571429,0.6696428571428572,56.74107142857143,33.25892857142858
256178,Joe Gomez,27.0,1997,eng ENG,DF,DF,Liverpool,eng Premier League,20000000,519.0,5.8,0.0,0.0,0.05172413793103448,0.017241379310344827,0.8620689655172414,6.0344827586206895,0.3448275862068966,0.5172413793103449,0.3448275862068966,0.3448275862068966,0.0,2.241379310344828,1.206896551724138,0.3448275862068966,82.93103448275862,52.24137931034483
504153,Joe Scally,21.0,2002,us USA,DF,DF,Gladbach,de Bundesliga,10000000,2578.0,28.6,0.0,0.0,0.013986013986013986,0.038461538461538464,1.8181818181818181,2.3776223776223775,2.4125874125874125,0.2097902097902098,0.03496503496503496,0.3846153846153846,0.5244755244755245,1.5734265734265733,0.5594405594405594,1.1888111888111887,64.68531468531468,34.26573426573427
