player_id,player_name,fbref_player,age,birth_year,nation,position,position_group,squad,competition,foot,height_in_cm,market_value_eur,highest_market_value_in_eur,valuation_date,tm_match_method,tm_match_score,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Sh,SoT,KP,PPA,Tkl,TklW,Int,Tkl+Int,Blocks,Clr,Err,Touches,Carries,Mis,Dis,Rec,Recov,Won,Lost,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,TklW_per90,Int_per90,Tkl+Int_per90,Blocks_per90,Clr_per90,Touches_per90,Carries_per90,Mis_per90,Dis_per90,Rec_per90,Recov_per90
794349,Julien Le Cardinal,Julien Le Cardinal,26.0,1997,fr FRA,DF,DF,Brest,Ligue 1,right,184.0,1500000,2500000,,exact_name_birth_year,100,16.0,15.0,1378.0,15.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,7.0,39.0,1.0,10.0,3.0,5.0,0.0,27.0,15.0,33.0,60.0,2.0,75.0,0.0,994.0,539.0,3.0,6.0,658.0,48.0,29.0,5.0,0.0,0.06535947712418301,0.06535947712418301,0.0,0.026143790849673203,0.026143790849673203,0.0196078431372549,0.0457516339869281,0.45751633986928103,2.549019607843137,0.06535947712418301,0.6535947712418301,0.19607843137254902,0.32679738562091504,0.0,1.7647058823529411,0.9803921568627451,2.156862745098039,3.9215686274509802,0.13071895424836602,4.901960784313725,64.9673202614379,35.228758169934636,0.19607843137254902,0.39215686274509803,43.006535947712415,3.1372549019607843
660867,Julio Enciso,Julio Enciso,20.0,2004,py PAR,"MF,FW",MF,Ipswich Town / Brighton,Premier League,right,173.0,22000000,22000000,2025-05-30,exact_name_birth_year,100,25.0,14.0,1163.0,13.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,2.7,2.7,1.5999999999999999,4.3,34.0,42.0,61.0,52.0,22.0,18.0,12.0,12.0,9.0,1.0,13.0,16.0,7.0,0.0,608.0,319.0,31.0,39.0,403.0,58.0,14.0,9.0,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.2076923076923077,0.2076923076923077,0.12307692307692307,0.33076923076923076,2.6153846153846154,3.230769230769231,4.6923076923076925,4.0,1.6923076923076923,1.3846153846153846,0.9230769230769231,0.9230769230769231,0.6923076923076923,0.07692307692307693,1.0,1.2307692307692308,0.5384615384615384,46.76923076923077,24.53846153846154,2.3846153846153846,3.0,31.0,4.461538461538462
576024,Julián Alvarez,Julián Álvarez,24.0,2000,ar ARG,FW,FW,Atlético Madrid,Liga,right,170.0,100000000,100000000,2025-06-09,exact_name_birth_year,100,37.0,30.0,2509.0,27.9,17.0,4.0,21.0,13.0,4.0,4.0,5.0,0.0,14.1,11.0,5.3,16.3,79.0,92.0,162.0,70.0,36.0,41.0,38.0,25.0,17.0,2.0,27.0,31.0,12.0,1.0,1238.0,776.0,62.0,40.0,892.0,75.0,13.0,22.0,0.6093189964157706,0.14336917562724016,0.7526881720430108,0.4659498207885305,0.5053763440860215,0.3942652329749104,0.1899641577060932,0.5842293906810037,2.831541218637993,3.2974910394265233,5.806451612903226,2.5089605734767026,1.2903225806451613,1.4695340501792116,1.3620071684587813,0.8960573476702509,0.6093189964157706,0.07168458781362008,0.967741935483871,1.1111111111111112,0.43010752688172044,44.37275985663083,27.81362007168459,2.2222222222222223,1.4336917562724014,31.971326164874554,2.688172043010753
513970,Julián Araujo,Julian Araujo,22.0,2001,mx MEX,DF,DF,Bournemouth,Premier League,right,176.0,10000000,10000000,2025-05-30,exact_name_birth_year,100,12.0,7.0,497.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,4.0,14.0,22.0,0.0,0.0,1.0,3.0,10.0,5.0,6.0,16.0,2.0,18.0,0.0,275.0,126.0,5.0,2.0,149.0,29.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018181818181818184,0.018181818181818184,0.7272727272727273,2.5454545454545454,4.0,0.0,0.0,0.18181818181818182,0.5454545454545454,1.8181818181818181,0.9090909090909091,1.0909090909090908,2.909090909090909,0.36363636363636365,3.272727272727273,50.0,22.90909090909091,0.9090909090909091,0.36363636363636365,27.09090909090909,5.2727272727272725
830108,Julián Malatini,Julián Malatini,23.0,2001,ar ARG,DF,DF,Werder Bremen,Bundesliga,right,191.0,2500000,3000000,2025-06-05,exact_name_birth_year,100,10.0,5.0,454.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,8.0,24.0,4.0,3.0,1.0,2.0,4.0,11.0,9.0,7.0,18.0,4.0,17.0,0.0,363.0,224.0,3.0,1.0,245.0,19.0,10.0,6.0,0.2,0.2,0.4,0.2,0.04,0.04,0.1,0.13999999999999999,1.6,4.8,0.8,0.6,0.2,0.4,0.8,2.2,1.8,1.4,3.6,0.8,3.4,72.6,44.8,0.6,0.2,49.0,3.8
452477,Junior Adamu,Junior Adamu,23.0,2001,at AUT,FW,FW,Freiburg,Bundesliga,right,183.0,5000000,8000000,2025-06-05,exact_name_birth_year,100,25.0,19.0,1545.0,17.2,2.0,2.0,4.0,2.0,0.0,0.0,5.0,1.0,5.5,5.5,2.4,7.9,8.0,14.0,84.0,36.0,11.0,17.0,8.0,9.0,3.0,12.0,21.0,12.0,20.0,0.0,534.0,275.0,59.0,24.0,350.0,52.0,53.0,8.0,0.11627906976744186,0.11627906976744186,0.23255813953488372,0.11627906976744186,0.31976744186046513,0.31976744186046513,0.13953488372093023,0.4593023255813954,0.46511627906976744,0.813953488372093,4.883720930232558,2.0930232558139537,0.6395348837209303,0.9883720930232559,0.46511627906976744,0.5232558139534884,0.1744186046511628,0.6976744186046512,1.2209302325581395,0.6976744186046512,1.1627906976744187,31.046511627906977,15.988372093023257,3.430232558139535,1.3953488372093024,20.348837209302328,3.0232558139534884
449151,Junior Messias,Junior Messias,33.0,1991,br BRA,"MF,FW",MF,Genoa,Serie A,left,174.0,2500000,6500000,,exact_name_birth_year,100,17.0,8.0,847.0,9.4,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.4,1.4,0.7,2.1,32.0,32.0,49.0,17.0,5.0,8.0,8.0,13.0,7.0,6.0,19.0,8.0,20.0,0.0,397.0,226.0,34.0,5.0,251.0,39.0,14.0,7.0,0.10638297872340426,0.10638297872340426,0.2127659574468085,0.10638297872340426,0.2553191489361702,0.14893617021276595,0.07446808510638298,0.22340425531914893,3.404255319148936,3.404255319148936,5.212765957446808,1.8085106382978722,0.5319148936170213,0.851063829787234,0.851063829787234,1.3829787234042552,0.7446808510638298,0.6382978723404255,2.021276595744681,0.851063829787234,2.127659574468085,42.234042553191486,24.04255319148936,3.6170212765957444,0.5319148936170213,26.70212765957447,4.148936170212766
1011200,Junior Mwanga,Junior Mwanga,21.0,2003,fr FRA,MF,MF,Le Havre / Strasbourg,Ligue 1,both,184.0,6000000,7000000,2025-06-03,exact_name_birth_year,100,19.0,13.0,1248.0,13.899999999999999,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.3,1.3,1.0,2.3,17.0,52.0,17.0,16.0,3.0,8.0,4.0,43.0,25.0,10.0,53.0,4.0,20.0,2.0,732.0,414.0,14.0,21.0,461.0,77.0,11.0,12.0,0.07194244604316548,0.14388489208633096,0.21582733812949642,0.07194244604316548,0.09352517985611512,0.09352517985611512,0.07194244604316548,0.16546762589928057,1.2230215827338131,3.7410071942446046,1.2230215827338131,1.1510791366906477,0.21582733812949642,0.5755395683453238,0.2877697841726619,3.0935251798561154,1.7985611510791368,0.7194244604316548,3.81294964028777,0.2877697841726619,1.4388489208633095,52.66187050359713,29.784172661870507,1.0071942446043167,1.510791366906475,33.16546762589928,5.539568345323741
348791,Junya Ito,Junya Ito,31.0,1993,jp JPN,"FW,MF",FW,Reims,Ligue 1,right,177.0,6000000,10000000,2025-06-03,exact_name_birth_year,100,33.0,31.0,2690.0,29.9,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,4.6,4.6,7.1,11.7,100.0,133.0,256.0,31.0,11.0,82.0,67.0,45.0,30.0,13.0,58.0,40.0,15.0,2.0,1533.0,837.0,85.0,39.0,1034.0,135.0,17.0,43.0,0.13377926421404682,0.10033444816053512,0.23411371237458195,0.13377926421404682,0.15384615384615385,0.15384615384615385,0.23745819397993312,0.391304347826087,3.3444816053511706,4.448160535117057,8.561872909698996,1.0367892976588629,0.3678929765886288,2.74247491638796,2.2408026755852846,1.5050167224080269,1.0033444816053512,0.4347826086956522,1.939799331103679,1.3377926421404682,0.5016722408026756,51.27090301003345,27.993311036789297,2.8428093645484953,1.3043478260869565,34.5819397993311,4.51505016722408
361068,Jurgen Ekkelenkamp,Jurgen Ekkelenkamp,24.0,2000,nl NED,MF,MF,Udinese,Serie A,right,188.0,7000000,7500000,2025-06-17,exact_name_birth_year,100,34.0,20.0,1892.0,21.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.8,2.8,1.3,4.1,34.0,72.0,86.0,27.0,9.0,15.0,11.0,36.0,25.0,12.0,48.0,17.0,26.0,0.0,868.0,457.0,23.0,7.0,560.0,82.0,18.0,17.0,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.13333333333333333,0.13333333333333333,0.06190476190476191,0.1952380952380952,1.619047619047619,3.4285714285714284,4.095238095238095,1.2857142857142858,0.42857142857142855,0.7142857142857143,0.5238095238095238,1.7142857142857142,1.1904761904761905,0.5714285714285714,2.2857142857142856,0.8095238095238095,1.2380952380952381,41.333333333333336,21.761904761904763,1.0952380952380953,0.3333333333333333,26.666666666666668,3.9047619047619047
420243,Jurriën Timber,Jurriën Timber,23.0,2001,nl NED,DF,DF,Arsenal,Premier League,right,179.0,55000000,70000000,2025-05-30,exact_name_birth_year,100,30.0,27.0,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,0.8,2.1,57.0,146.0,104.0,14.0,4.0,17.0,17.0,58.0,38.0,22.0,80.0,25.0,44.0,1.0,1661.0,890.0,33.0,24.0,1052.0,94.0,22.0,9.0,0.03717472118959108,0.11152416356877325,0.14869888475836432,0.03717472118959108,0.04460966542750929,0.04460966542750929,0.029739776951672865,0.07806691449814127,2.1189591078066914,5.4275092936802976,3.866171003717472,0.5204460966542751,0.14869888475836432,0.6319702602230484,0.6319702602230484,2.156133828996283,1.412639405204461,0.8178438661710038,2.9739776951672865,0.929368029739777,1.6356877323420076,61.74721189591079,33.08550185873606,1.2267657992565058,0.892193308550186,39.10780669144982,3.4944237918215615
747009,Justin Devenny,Justin Devenny,20.0,2003,nir NIR,MF,MF,Crystal Palace,Premier League,left,184.0,6000000,8000000,2025-05-30,exact_name_birth_year,100,23.0,4.0,507.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.6,1.4,5.0,21.0,13.0,10.0,6.0,7.0,4.0,17.0,12.0,0.0,17.0,2.0,11.0,0.0,279.0,134.0,17.0,3.0,167.0,27.0,2.0,11.0,0.17857142857142858,0.17857142857142858,0.35714285714285715,0.17857142857142858,0.14285714285714288,0.14285714285714288,0.10714285714285715,0.25,0.8928571428571429,3.7500000000000004,2.3214285714285716,1.7857142857142858,1.0714285714285714,1.25,0.7142857142857143,3.035714285714286,2.142857142857143,0.0,3.035714285714286,0.35714285714285715,1.9642857142857144,49.82142857142858,23.92857142857143,3.035714285714286,0.5357142857142857,29.821428571428573,4.821428571428572
330659,Justin Kluivert,Justin Kluivert,25.0,1999,nl NED,MF,MF,Bournemouth,Premier League,both,172.0,35000000,35000000,2025-05-30,exact_name_birth_year,100,34.0,29.0,2340.0,26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,10.3,5.6,4.8,10.5,81.0,105.0,173.0,57.0,23.0,45.0,35.0,23.0,11.0,14.0,37.0,18.0,24.0,1.0,1086.0,646.0,55.0,27.0,710.0,78.0,8.0,18.0,0.46153846153846156,0.23076923076923078,0.6923076923076923,0.23076923076923078,0.3961538461538462,0.21538461538461537,0.1846153846153846,0.40384615384615385,3.1153846153846154,4.038461538461538,6.653846153846154,2.1923076923076925,0.8846153846153846,1.7307692307692308,1.3461538461538463,0.8846153846153846,0.4230769230769231,0.5384615384615384,1.4230769230769231,0.6923076923076923,0.9230769230769231,41.76923076923077,24.846153846153847,2.1153846153846154,1.0384615384615385,27.307692307692307,3.0
596153,Justin Njinmah,Justin Njinmah,23.0,2000,de GER,"FW,MF",FW,Werder Bremen,Bundesliga,right,185.0,7000000,9000000,2025-06-05,exact_name_birth_year,100,26.0,10.0,952.0,10.6,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,3.7,3.7,1.6,5.2,33.0,23.0,103.0,31.0,8.0,12.0,10.0,6.0,2.0,3.0,9.0,16.0,1.0,0.0,349.0,230.0,23.0,7.0,264.0,20.0,15.0,2.0,0.2830188679245283,0.18867924528301888,0.4716981132075472,0.2830188679245283,0.34905660377358494,0.34905660377358494,0.15094339622641512,0.4905660377358491,3.1132075471698113,2.169811320754717,9.716981132075473,2.9245283018867925,0.7547169811320755,1.1320754716981132,0.9433962264150944,0.5660377358490566,0.18867924528301888,0.2830188679245283,0.8490566037735849,1.509433962264151,0.09433962264150944,32.924528301886795,21.69811320754717,2.169811320754717,0.6603773584905661,24.90566037735849,1.8867924528301887
216569,Jérémie Boga,Jeremie Boga,27.0,1997,ci CIV,"MF,FW",MF,Nice,Ligue 1,right,172.0,10000000,25000000,2025-06-03,exact_name_birth_year,100,21.0,12.0,1054.0,11.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,2.8,5.1,64.0,39.0,75.0,30.0,16.0,24.0,18.0,10.0,5.0,3.0,13.0,13.0,2.0,1.0,529.0,338.0,18.0,17.0,408.0,44.0,3.0,4.0,0.08547008547008547,0.17094017094017094,0.25641025641025644,0.08547008547008547,0.19658119658119658,0.19658119658119658,0.23931623931623933,0.4358974358974359,5.47008547008547,3.3333333333333335,6.410256410256411,2.5641025641025643,1.3675213675213675,2.0512820512820515,1.5384615384615385,0.8547008547008548,0.4273504273504274,0.25641025641025644,1.1111111111111112,1.1111111111111112,0.17094017094017094,45.21367521367522,28.88888888888889,1.5384615384615385,1.4529914529914532,34.871794871794876,3.760683760683761
486049,Jérémy Doku,Jeremy Doku,22.0,2002,be BEL,"FW,MF",FW,Manchester City,Premier League,right,173.0,50000000,65000000,2025-05-30,exact_name_birth_year,100,29.0,16.0,1516.0,16.8,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,1.3,1.3,4.8,6.1,213.0,69.0,286.0,29.0,9.0,32.0,48.0,31.0,22.0,4.0,35.0,30.0,2.0,0.0,1027.0,796.0,59.0,59.0,854.0,63.0,0.0,7.0,0.17857142857142858,0.35714285714285715,0.5357142857142857,0.17857142857142858,0.07738095238095238,0.07738095238095238,0.2857142857142857,0.3630952380952381,12.678571428571429,4.107142857142857,17.023809523809522,1.726190476190476,0.5357142857142857,1.9047619047619047,2.857142857142857,1.8452380952380951,1.3095238095238095,0.23809523809523808,2.083333333333333,1.7857142857142856,0.11904761904761904,61.13095238095238,47.38095238095238,3.511904761904762,3.511904761904762,50.83333333333333,3.75
1004301,Jérémy Jacquet,Jérémy Jacquet,19.0,2005,fr FRA,DF,DF,Rennes,Ligue 1,right,190.0,10000000,20000000,2025-06-03,exact_name_birth_year,100,11.0,11.0,927.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1.6,8.0,40.0,4.0,8.0,3.0,4.0,1.0,26.0,17.0,27.0,53.0,10.0,45.0,1.0,627.0,353.0,6.0,3.0,408.0,41.0,19.0,8.0,0.0,0.0970873786407767,0.0970873786407767,0.0,0.07766990291262135,0.07766990291262135,0.07766990291262135,0.1553398058252427,0.7766990291262136,3.8834951456310676,0.3883495145631068,0.7766990291262136,0.2912621359223301,0.3883495145631068,0.0970873786407767,2.524271844660194,1.6504854368932038,2.6213592233009706,5.1456310679611645,0.9708737864077669,4.368932038834951,60.873786407766985,34.27184466019417,0.5825242718446602,0.2912621359223301,39.61165048543689,3.9805825242718442
429983,Jørgen Strand Larsen,Jørgen Strand Larsen,24.0,2000,no NOR,FW,FW,Wolves,Premier League,right,193.0,30000000,40000000,2025-05-30,exact_name_birth_year,100,35.0,30.0,2587.0,28.7,14.0,4.0,18.0,14.0,0.0,0.0,4.0,0.0,10.3,10.3,3.0,13.3,17.0,29.0,112.0,54.0,33.0,21.0,4.0,10.0,6.0,6.0,16.0,19.0,29.0,0.0,736.0,345.0,90.0,34.0,534.0,42.0,67.0,23.0,0.4878048780487805,0.13937282229965156,0.6271777003484321,0.4878048780487805,0.35888501742160284,0.35888501742160284,0.10452961672473868,0.4634146341463415,0.5923344947735192,1.0104529616724738,3.902439024390244,1.8815331010452963,1.1498257839721255,0.7317073170731707,0.13937282229965156,0.34843205574912894,0.20905923344947736,0.20905923344947736,0.5574912891986062,0.662020905923345,1.0104529616724738,25.644599303135887,12.020905923344948,3.1358885017421603,1.1846689895470384,18.606271777003485,1.4634146341463414
